Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0106.rcc.local:UCM:1ba4:269a0700: 1174116839 us(890348 us!!!):  ucm_recv: UNKNOWN msg 0x1089a68, ver 0
midway2-0106.rcc.local:UCM:1ba6:d8116700: 1174118691 us(890311 us!!!):  ucm_recv: UNKNOWN msg 0x1765968, ver 0
midway2-0106.rcc.local:UCM:1ba8:469b7700: 1174165892 us(1174165892 us!!!):  ucm_recv: UNKNOWN msg 0x111dc68, ver 0
midway2-0106.rcc.local:UCM:1b9a:78ca4700: 1174375797 us(3239749 us!!!):  ucm_recv: UNKNOWN msg 0x150e068, ver 0
midway2-0106.rcc.local:UCM:1ba2:c2c09700: 1174540514 us(1499818 us!!!):  ucm_recv: UNKNOWN msg 0x9e5e68, ver 0
midway2-0106.rcc.local:UCM:1ba5:3599f700: 1174546867 us(824062 us!!!):  ucm_recv: UNKNOWN msg 0x232b968, ver 0
midway2-0106.rcc.local:UCM:1ba7:3a675700: 1174544637 us(824041 us!!!):  ucm_recv: UNKNOWN msg 0xcb0968, ver 0
midway2-0106.rcc.local:UCM:1ba9:75755700: 1174540563 us(1174540563 us!!!):  ucm_recv: UNKNOWN msg 0x114e868, ver 0
midway2-0106.rcc.local:UCM:1ba6:d8116700: 1174942773 us(824082 us!!!):  ucm_recv: UNKNOWN msg 0x1765a68, ver 0
midway2-0106.rcc.local:UCM:1baa:8e74a700: 1174950471 us(1174950471 us!!!):  ucm_recv: UNKNOWN msg 0x1438c68, ver 0
midway2-0106.rcc.local:UCM:1b9b:36d47700: 1175156689 us(3304105 us!!!):  ucm_recv: UNKNOWN msg 0xeccc68, ver 0
midway2-0106.rcc.local:UCM:1ba3:7947a700: 1175147449 us(1523648 us!!!):  ucm_recv: UNKNOWN msg 0x1fafa68, ver 0
midway2-0106.rcc.local:UCM:1ba8:469b7700: 1175156083 us(990191 us!!!):  ucm_recv: UNKNOWN msg 0x111dd68, ver 0
midway2-0106.rcc.local:UCM:1ba7:3a675700: 1175355015 us(810378 us!!!):  ucm_recv: UNKNOWN msg 0xcb0a68, ver 0
midway2-0106.rcc.local:UCM:1ba9:75755700: 1175350905 us(810342 us!!!):  ucm_recv: UNKNOWN msg 0x114e968, ver 0
midway2-0106.rcc.local:UCM:1bab:5a43a700: 1175364017 us(1175364017 us!!!):  ucm_recv: UNKNOWN msg 0x1b34968, ver 0
midway2-0106.rcc.local:UCM:1b9c:dfcf6700: 1175564868 us(3313769 us!!!):  ucm_recv: UNKNOWN msg 0xecbe68, ver 0
midway2-0106.rcc.local:UCM:1ba4:269a0700: 1175760379 us(1643540 us!!!):  ucm_recv: UNKNOWN msg 0x1089b68, ver 0
midway2-0106.rcc.local:UCM:1ba8:469b7700: 1175765870 us(609787 us!!!):  ucm_recv: UNKNOWN msg 0x111de68, ver 0
midway2-0106.rcc.local:UCM:1baa:8e74a700: 1175760389 us(809918 us!!!):  ucm_recv: UNKNOWN msg 0x1438d68, ver 0
midway2-0106.rcc.local:UCM:1bac:ec687700: 1175761318 us(1175761318 us!!!):  ucm_recv: UNKNOWN msg 0x2006d68, ver 0
midway2-0106.rcc.local:UCM:1b9d:3d3ba700: 1175967660 us(3153772 us!!!):  ucm_recv: UNKNOWN msg 0xe74c68, ver 0
midway2-0106.rcc.local:UCM:1b9e:37ac8700: 1176168369 us(3120268 us!!!):  ucm_recv: UNKNOWN msg 0x282be68, ver 0
midway2-0106.rcc.local:UCM:1ba5:3599f700: 1176167319 us(1620452 us!!!):  ucm_recv: UNKNOWN msg 0x232ba68, ver 0
midway2-0106.rcc.local:UCM:1ba9:75755700: 1176160964 us(810059 us!!!):  ucm_recv: UNKNOWN msg 0x114ea68, ver 0
midway2-0106.rcc.local:UCM:1bab:5a43a700: 1176164450 us(800433 us!!!):  ucm_recv: UNKNOWN msg 0x1b34a68, ver 0
midway2-0106.rcc.local:UCM:1bad:67f29700: 1176177765 us(1176177765 us!!!):  ucm_recv: UNKNOWN msg 0xad9a68, ver 0
midway2-0106.rcc.local:UCM:1b9f:eebb0700: 1176585989 us(3343911 us!!!):  ucm_recv: UNKNOWN msg 0x2660d68, ver 0
midway2-0106.rcc.local:UCM:1ba6:d8116700: 1176572288 us(1629515 us!!!):  ucm_recv: UNKNOWN msg 0x1765b68, ver 0
midway2-0106.rcc.local:UCM:1baa:8e74a700: 1176570448 us(810059 us!!!):  ucm_recv: UNKNOWN msg 0x1438e68, ver 0
midway2-0106.rcc.local:UCM:1bac:ec687700: 1176571291 us(809973 us!!!):  ucm_recv: UNKNOWN msg 0x2006e68, ver 0
midway2-0106.rcc.local:UCM:1bae:c1f2b700: 1176574638 us(1176574638 us!!!):  ucm_recv: UNKNOWN msg 0x8a7f68, ver 0
midway2-0106.rcc.local:UCM:1ba0:ddae4700: 1176787014 us(3143754 us!!!):  ucm_recv: UNKNOWN msg 0x11e4068, ver 0
midway2-0106.rcc.local:UCM:1b94:6b47d700: 1176974897 us(6254114 us!!!):  ucm_recv: UNKNOWN msg 0x1af2568, ver 0
midway2-0106.rcc.local:UCM:1ba7:3a675700: 1176975081 us(1620066 us!!!):  ucm_recv: UNKNOWN msg 0xcb0b68, ver 0
