wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,VOTE72,PRES72,IF72WHO,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,CAPPUN2,gunlaw,courts,grass,relig,denom,other,fund,attend,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,racmar,racdin,racpush,racopen,raclive,racclos,racdis,racinteg,rachome,happy,hapmar,health,life,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,aged,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,classy,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,union,getahead,abdefect,abnomore,abhlth,abpoor,abrape,absingle,aborct,xmarsex,homosex,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,strike,civright,antiwar,prowar,school,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,povline,incdef,realinc,coninc,ethnic,ethnum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,commun,cohort,marcohrt,sampcode,wtssall
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,working fulltime,c,e,,d,b,someone else,c,c,verbatims for sp,"found, coded",found,c,c,truck transportation,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,b,c,c,high school,lt high school,high school,high school,female,white,farm,middle atlantic,different state,mother & father,,no,,,average,c,1,1,0,2,c,c,$10000 - 14999,e. nor. central,city gt 250000,12 lrgst smsa's,751,e,e,e,e,e,e,d,c,c,b,b,b,d,c,c,c,b,c,not str democrat,,,,did not vote,,nixon,too much,too little,about right,too little,,,about right,too much,about right,too much,too much,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,"no,dont favor",favor,not harsh enough,not legal,protestant,lutheran-dk which,,moderate,sevrl times a yr,no,catholic,,,moderate,none,,,liberal,none,,,liberal,yes,mildly object,agree strongly,owner decides,yes,no,4-8 blks away,stay integrated,no,pretty happy,pretty happy,good,routine,lookout for self,take advantage,can't be too careful,a fair amount,none,great deal,a fair amount,a fair amount,only some,only some,a great deal,only some,hardly any,only some,only some,hardly any,only some,a great deal,only some,only some,not mentioned,3 most desirable,not mentioned,1 least desirable,1 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,not mentioned,a good idea,disagree,agree,agree,agree,agree,agree,agree,agree,agree,mod. satisfied,,fifth,third,fourth,second,most impt,working class,,not at all sat,worse,average,no,,yes,no,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,yes,always wrong,always wrong,yes,yes,yes,yes,legal,no,no,no,no,no,no,no,,,no,,,yes,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,phone in home,"friendly,interested",fair,standard <x>,not poor,"5,000 to 9,999",c,c,hungary,chooses 1 of 2+,e,c,d,e,c,c,,miners and quarriers,protective services workers not elsewhere classified,e,e,e,c,c,d,c,c,c,yes,stay out,stay in,"bad, not worst",c,c,128,c
keeping house,e,e,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",married,b,no,working fulltime,c,e,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,real estate,"not found, coded","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,e,c,b,e,c,b,lt high school,,lt high school,lt high school,female,white,town lt 50000,south atlantic,different state,mother,parent died,no,,,below average,e,1,3,3,2,c,c,$10000 - 14999,e. nor. central,city gt 250000,12 lrgst smsa's,751,e,e,e,e,e,e,c,c,b,c,d,c,e,e,e,e,e,e,"ind,near dem",did not vote,,,did not vote,,,too much,too little,,too much,too little,too little,too little,too little,too little,too little,too much,not allowed,not allowed,remove,allowed,allowed,not remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",oppose,not harsh enough,not legal,protestant,other,wesleyan,fundamentalist,more thn once wk,yes,protestant,other,wesleyan,fundamentalist,protestant,other,wesleyan,fundamentalist,protestant,other,wesleyan,fundamentalist,yes,not object,agree strongly,owner decides,yes,no,1-3 blks away,stay integrated,no,very happy,very happy,excellent,routine,helpful,fair,can't be too careful,a fair amount,a fair amount,quite a bit,quite a bit,a fair amount,only some,hardly any,only some,only some,hardly any,a great deal,a great deal,hardly any,,,,only some,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,3 least desirable,1 least desirable,1 most desirable,3 most desirable,3 most desirable,not mentioned,not mentioned,not mentioned,a good idea,agree,agree,disagree,agree,agree,agree,agree,agree,agree,mod. satisfied,,third,fourth,fifth,most impt,second,,middle class,more or less,better,average,no,,no,,no,no,neither belongs,hard work,yes,no,yes,no,,no,yes,always wrong,always wrong,no,yes,yes,yes,illegal to all,no,no,no,no,no,no,no,,,yes,adult,once,no,,,,,,no,,,,,yes,no,no,yes,no,yes,yes,no,no,phone in home,cooperative,good,alternate <y>,not poor,"1,000 to 4,999",c,c,ireland,names 1,e,e,d,e,e,c,,,plumbers and pipe fitters,e,e,e,e,e,e,c,c,c,yes,active part,stay in,worst kind,c,c,128,c
working fulltime,c,e,,c,b,someone else,c,found,d,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,e,lt high school,,lt high school,,female,white,city gt 250000,e. nor. central,same city,mother,"divorce,separated",yes,no,yes,average,c,0,0,1,2,c,c,$4000 to 4999,e. nor. central,city gt 250000,12 lrgst smsa's,751,d,c,c,b,b,b,e,e,e,e,e,e,e,e,e,e,e,e,"ind,near dem",did not vote,,humphrey,did not vote,,nixon,too much,too little,too little,too little,too little,too much,too little,about right,too much,too much,,not allowed,not allowed,remove,allowed,allowed,not remove,allowed,fired,remove,allowed,allowed,not remove,"yes,favor",favor,not harsh enough,not legal,protestant,lutheran-dk which,,moderate,never,no,protestant,lutheran-dk which,,moderate,,,,,,,,,yes,not object,agree slightly,owner decides,no,,,,no,pretty happy,,good,routine,helpful,fair,can't be too careful,a fair amount,quite a bit,very great deal,very great deal,very great deal,only some,only some,hardly any,only some,hardly any,only some,only some,a great deal,a great deal,only some,only some,only some,3 most desirable,not mentioned,not mentioned,3 least desirable,1 most desirable,not mentioned,3 least desirable,1 least desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,a good idea,disagree,agree,disagree,agree,disagree,agree,disagree,agree,disagree,a little dissat,stop working,most impt,fourth,second,fifth,third,,working class,not at all sat,better,below average,no,,no,,yes,no,r belongs,both equally,no,no,yes,no,yes,no,yes,always wrong,always wrong,yes,yes,yes,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,no,,,,,,no,,,,,yes,no,no,no,no,no,no,no,,phone in home,"friendly,interested",good,alternate <y>,not poor,"1,000 to 4,999",c,c,germany,names 1,c,e,e,d,e,e,laundry machine operators,,,b,b,b,e,e,e,e,e,e,yes,active part,stay in,"bad, not worst",c,c,128,c
working fulltime,c,e,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,widowed,c,yes,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,self-employed,c,d,verbatims for pa,"found, coded",found,c,b,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,d,b,b,e,bachelor,lt high school,lt high school,,female,black,farm,south atlantic,same city,mother & father,,yes,yes,no,far below average,c,0,3,0,2,e,c,$15000 - 19999,south atlantic,open country,other rural,3,c,a,c,d,c,d,e,e,e,e,e,e,c,c,b,c,c,c,not str democrat,voted,humphrey,,voted,mcgovern,,too much,too little,too little,too little,too little,too little,about right,too little,too much,too much,about right,not allowed,not allowed,remove,allowed,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,remove,"no,dont favor",favor,not harsh enough,not legal,protestant,methodist-dk which,,moderate,2-3x a month,yes,protestant,methodist-dk which,,moderate,,,,,,,,,,,,,,,,,,not too happy,,good,routine,lookout for self,take advantage,can't be too careful,very great deal,great deal,quite a bit,some,great deal,a great deal,a great deal,a great deal,only some,a great deal,hardly any,only some,hardly any,only some,only some,only some,a great deal,3 least desirable,3 most desirable,not mentioned,not mentioned,1 most desirable,3 most desirable,1 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,a good idea,agree,disagree,disagree,disagree,agree,disagree,agree,agree,agree,very satisfied,continue working,second,fourth,fifth,third,most impt,,upper middle class,satisfied,better,above average,yes,yes,yes,no,no,no,neither belongs,hard work,yes,no,yes,no,yes,no,yes,always wrong,always wrong,no,yes,yes,yes,illegal under 18,yes,no,yes,no,no,no,no,,,no,,,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,,,c,c,american only,names 1,b,c,e,b,c,e,primary school teachers,wood processing plant operators,,d,d,d,b,b,b,e,e,e,yes,stay out,stay in,ok for some,c,c,199,c
retired,e,e,yes,c,c,someone else,b,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",married,d,no,working fulltime,c,e,,d,b,someone else,d,c,,"not found, coded","not found, assigned",c,c,elementary and secondary schools,"not found, coded","not found, assigned",c,c,self-employed,c,b,,"not found, coded","not found, assigned",c,c,d,"not found, no code assigned","not found, not assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",e,c,d,b,e,e,c,lt high school,,,lt high school,male,black,farm,south atlantic,same city,mother & father,,,,,far below average,c,0,0,0,3,c,c,$6000 to 6999,south atlantic,open country,other rural,3,d,c,c,b,c,b,c,c,b,c,c,c,c,c,b,c,c,c,strong democrat,did not vote,,humphrey,did not vote,,mcgovern,about right,,about right,about right,about right,too little,about right,about right,about right,about right,about right,not allowed,not allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,allowed,allowed,not remove,"yes,favor",oppose,too harsh,not legal,protestant,other,zion union,moderate,once a year,yes,protestant,baptist-dk which,,fundamentalist,protestant,other,zion union,moderate,protestant,other,zion union,moderate,,,,,,,,,,very happy,very happy,fair,routine,helpful,fair,can trust,great deal,a fair amount,quite a bit,quite a bit,a fair amount,only some,only some,a great deal,,only some,only some,only some,a great deal,hardly any,only some,only some,only some,3 most desirable,1 least desirable,3 most desirable,3 least desirable,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,a bad idea,disagree,disagree,disagree,disagree,agree,disagree,agree,disagree,disagree,,,fifth,second,fourth,third,most impt,middle class,,satisfied,,below average,yes,yes,,,no,no,neither belongs,hard work,,no,yes,,,,no,,,yes,no,,no,illegal to all,no,no,no,no,no,no,no,,,no,,,no,,,,,,no,,,,,no,no,no,yes,yes,yes,yes,no,no,phone in home,"friendly,interested",fair,standard <x>,not poor,"1,000 to 4,999",c,c,africa,names 1,d,c,c,d,b,c,uncodeable,agricultural and forestry production managers,cooks,e,e,e,c,c,c,b,b,b,yes,stay out,pull out,good form,b,b,199,d
retired,e,e,yes,c,b,someone else,c,found,d,verbatims for r,"found, coded",found,b,b,d,"found, coded",found,married,c,no,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,c,e,d,b,c,c,a,lt high school,lt high school,high school,lt high school,male,black,farm,south atlantic,same city,mother & father,,yes,no,no,average,d,0,2,1,3,c,c,$1000 to 2999,south atlantic,open country,other rural,3,c,c,b,c,b,b,e,e,e,e,e,e,c,c,b,c,c,c,not str republican,voted,humphrey,,voted,mcgovern,,too much,too little,too little,too little,too little,too little,too little,too little,about right,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",favor,not harsh enough,not legal,protestant,other,holiness; church of holiness,fundamentalist,more thn once wk,yes,protestant,other,holiness; church of holiness,fundamentalist,protestant,other,,,protestant,other,,,,,,,,,,,,very happy,very happy,good,exciting,lookout for self,fair,can't be too careful,very great deal,quite a bit,great deal,great deal,very great deal,only some,a great deal,a great deal,only some,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,3 most desirable,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,1 most desirable,not mentioned,not mentioned,not mentioned,3 least desirable,3 least desirable,a bad idea,agree,agree,disagree,agree,agree,agree,agree,agree,agree,,,fourth,third,fifth,most impt,second,,middle class,satisfied,better,average,,,,,no,no,neither belongs,hard work,yes,no,yes,no,yes,yes,yes,always wrong,always wrong,yes,yes,yes,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,no,,,,,,no,,,,,no,no,no,yes,no,yes,no,no,no,phone in home,"friendly,interested",good,alternate <y>,poor,"-4,999 to -1,000",b,b,american only,names 1,d,c,e,d,d,e,"car, taxi and van drivers",crop farm labourers,,c,c,c,b,b,b,e,e,e,yes,active part,stay in,worst kind,b,b,199,d
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,retired,e,e,yes,d,b,someone else,b,c,verbatims for sp,"found, coded",found,b,c,construction,"found, coded",found,c,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,b,"found, coded",found,"found, iap",found,"found, iap",found,d,e,d,c,e,e,b,,,,lt high school,female,black,farm,south atlantic,same city,mother & father,,no,,,far below average,c,0,0,0,3,c,d,$1000 to 2999,south atlantic,open country,other rural,3,e,e,e,e,e,e,d,c,c,a,a,a,c,c,b,c,c,c,strong democrat,voted,humphrey,,voted,mcgovern,,too much,about right,about right,about right,about right,too little,about right,too little,about right,too much,too little,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,"no,dont favor",oppose,not harsh enough,not legal,protestant,other,holiness; church of holiness,fundamentalist,more thn once wk,yes,protestant,baptist-dk which,,fundamentalist,protestant,other,holiness; church of holiness,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,pretty happy,pretty happy,fair,routine,,fair,can't be too careful,a fair amount,a little,some,quite a bit,a fair amount,,hardly any,a great deal,only some,only some,hardly any,only some,hardly any,only some,only some,only some,only some,3 most desirable,not mentioned,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,1 most desirable,3 least desirable,not mentioned,not mentioned,a bad idea,agree,agree,disagree,disagree,agree,agree,agree,agree,agree,mod. satisfied,,second,fifth,fourth,third,most impt,,upper class,not at all sat,worse,far below average,,,,,no,yes,neither belongs,hard work,no,no,no,no,no,no,yes,always wrong,always wrong,yes,yes,yes,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,no,,,,,,no,,,,,yes,no,no,,no,no,no,no,no,phone in home,"friendly,interested",fair,alternate <y>,poor,"-4,999 to -1,000",b,b,american only,names 1,e,c,d,e,d,d,,crop farm labourers,building construction labourers,e,e,e,b,b,b,c,b,c,yes,stay out,stay in,"bad, not worst",b,b,199,d
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,no,retired,e,e,yes,c,c,someone else,b,d,verbatims for sp,"found, coded",found,c,b,sawmills and wood preservation,"found, coded",found,c,b,self-employed,e,d,verbatims for pa,"found, coded",found,c,b,c,"found, coded",found,"found, iap",found,"found, iap",found,d,e,d,b,e,e,b,lt high school,,,lt high school,female,black,farm,south atlantic,same city,mother & father,,no,,,far below average,c,0,0,1,2,c,c,lt $1000,south atlantic,open country,other rural,3,e,e,e,e,e,e,d,c,b,b,c,b,d,c,c,b,c,b,strong democrat,voted,humphrey,,voted,mcgovern,,,too little,too little,too little,too little,too little,too little,too little,,too much,about right,not allowed,not allowed,remove,not allowed,not allowed,remove,allowed,not fired,remove,not allowed,not allowed,remove,"no,dont favor",favor,not harsh enough,not legal,protestant,other,united holiness,fundamentalist,more thn once wk,yes,protestant,baptist-dk which,,fundamentalist,protestant,other,united holiness,fundamentalist,protestant,other,zion union apostolic,moderate,,,,,,,,,,pretty happy,very happy,good,routine,lookout for self,take advantage,can't be too careful,great deal,quite a bit,great deal,great deal,great deal,only some,only some,only some,hardly any,hardly any,hardly any,only some,only some,only some,only some,only some,,3 most desirable,3 least desirable,1 most desirable,3 least desirable,not mentioned,3 most desirable,1 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,a bad idea,agree,agree,disagree,disagree,agree,agree,agree,agree,agree,mod. satisfied,,most impt,third,fourth,fifth,second,middle class,,not at all sat,worse,far below average,,,,,no,no,neither belongs,hard work,yes,no,yes,no,no,no,yes,always wrong,always wrong,yes,yes,yes,yes,illegal to all,no,no,no,no,no,no,no,,,no,,,yes,no,no,no,yes,no,no,,,,,yes,no,no,yes,yes,yes,yes,no,no,phone in home,"friendly,interested",good,standard <x>,poor,"-4,999 to -1,000",b,b,american only,names 1,e,d,c,e,c,d,,wood processing plant operators,wood processing plant operators,e,e,e,b,b,b,b,b,b,yes,stay out,stay in,ok for some,b,b,199,c
keeping house,e,e,yes,d,b,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,d,b,someone else,b,d,verbatims for sp,"found, coded",found,c,c,motor vehicles and motor vehicle equipment manufacturing,"found, coded",found,c,c,someone else,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,d,d,c,c,c,b,c,lt high school,lt high school,lt high school,lt high school,female,black,farm,w. sou. central,different state,mother & father,,no,,,far below average,c,0,1,1,1,c,c,$8000 to 9999,e. nor. central,"city,50-250000",smsa's 13-100,193,d,c,c,b,b,b,d,c,c,b,b,b,c,c,b,c,c,c,not str democrat,voted,humphrey,,voted,mcgovern,,,too little,too little,too little,,,too little,too little,too much,too much,,allowed,not allowed,remove,not allowed,not allowed,not remove,allowed,not fired,not remove,not allowed,allowed,remove,"no,dont favor",favor,about right,not legal,protestant,baptist-dk which,,fundamentalist,nrly every week,yes,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,pretty happy,pretty happy,fair,routine,depends,depends,can trust,a fair amount,quite a bit,quite a bit,quite a bit,some,only some,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal,only some,only some,only some,hardly any,hardly any,not mentioned,1 least desirable,1 most desirable,3 least desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,3 most desirable,3 most desirable,not mentioned,a bad idea,agree,disagree,disagree,agree,disagree,disagree,agree,disagree,agree,a little dissat,,most impt,fifth,fourth,second,third,middle class,,more or less,better,average,no,,no,,yes,yes,spouse belongs,both equally,yes,yes,yes,yes,yes,yes,no,sometimes wrong,almst always wrg,no,no,yes,yes,illegal under 18,yes,no,yes,no,no,no,no,,,no,,,no,,,,,,no,,,,,no,no,no,yes,yes,yes,no,yes,no,phone in home,"friendly,interested",good,standard <x>,not poor,"1,000 to 4,999",c,c,africa,names 1,c,c,d,d,b,d,"cleaners and helpers in offices, hotels and other establishments",agricultural and forestry production managers,manufacturing labourers not elsewhere classified,c,b,c,c,c,c,c,b,c,,stay out,stay in,ok for some,c,c,129,b
temp not working,e,c,,c,c,someone else,d,found,c,verbatims for r,"found, coded",found,c,c,d,"found, coded",found,separated,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,c,c,e,lt high school,lt high school,lt high school,,male,black,town lt 50000,e. sou. central,different state,mother & father,,no,,,far below average,c,0,0,0,2,c,c,$10000 - 14999,e. nor. central,"city,50-250000",smsa's 13-100,193,c,c,b,c,c,c,e,e,e,e,e,e,c,c,b,c,d,c,strong democrat,voted,humphrey,,did not vote,,mcgovern,too much,too little,about right,too little,too little,too little,too little,too little,about right,too much,about right,not allowed,not allowed,not remove,allowed,allowed,remove,not allowed,fired,remove,not allowed,not allowed,not remove,"yes,favor",favor,not harsh enough,not legal,protestant,baptist-dk which,,fundamentalist,once a month,yes,protestant,baptist-dk which,,fundamentalist,,,,,,,,,,,,,,,,,,very happy,,fair,exciting,lookout for self,take advantage,can't be too careful,very great deal,some,some,very great deal,a fair amount,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,only some,only some,only some,only some,only some,3 most desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,1 least desirable,not mentioned,3 most desirable,not mentioned,3 least desirable,3 least desirable,not mentioned,a bad idea,disagree,agree,agree,agree,agree,agree,agree,agree,agree,mod. satisfied,stop working,second,fourth,most impt,third,fifth,,middle class,not at all sat,stayed same,average,yes,,yes,no,no,yes,r belongs,both equally,yes,no,yes,no,no,no,yes,always wrong,always wrong,yes,yes,yes,no,illegal under 18,no,yes,no,no,no,no,yes,child,4+ times,,,,no,,,,,,no,,,,,yes,no,no,yes,no,yes,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,not poor,"5,000 to 9,999",c,c,africa,names 1,d,d,e,c,c,e,motor vehicle mechanics and repairers,carpenters and joiners,,c,b,c,c,c,c,e,e,e,yes,active part,stay in,"bad, not worst",c,c,129,c
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,married,c,yes,working fulltime,c,e,,d,b,someone else,d,c,verbatims for sp,"found, coded",found,b,b,,"found, no answer",found,c,b,someone else,c,d,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,b,e,e,a,lt high school,,,lt high school,female,black,farm,e. sou. central,different state,mother & father,,no,,,average,c,0,0,1,3,c,c,$3000 to 3999,e. nor. central,"city,50-250000",smsa's 13-100,193,e,e,e,e,e,e,d,c,c,c,b,b,d,c,c,b,b,b,not str democrat,did not vote,,humphrey,voted,mcgovern,,too much,too much,too little,too little,too little,too little,too little,too little,too little,too little,too little,allowed,allowed,remove,allowed,allowed,remove,allowed,not fired,not remove,allowed,not allowed,not remove,"no,dont favor",oppose,about right,legal,protestant,methodist-dk which,,moderate,nrly every week,yes,protestant,baptist-dk which,,fundamentalist,none,,,liberal,,,,,,,,,,,,,,pretty happy,pretty happy,fair,routine,lookout for self,depends,can't be too careful,quite a bit,quite a bit,great deal,very great deal,a fair amount,only some,hardly any,a great deal,hardly any,a great deal,hardly any,only some,a great deal,only some,hardly any,hardly any,only some,3 most desirable,1 least desirable,not mentioned,not mentioned,1 most desirable,not mentioned,3 least desirable,not mentioned,not mentioned,not mentioned,3 least desirable,not mentioned,3 most desirable,a good idea,disagree,disagree,disagree,agree,agree,disagree,agree,agree,agree,,,most impt,fifth,fourth,second,third,,lower class,not at all sat,stayed same,average,yes,yes,no,,yes,no,spouse belongs,hard work,yes,yes,yes,yes,yes,yes,yes,always wrong,always wrong,yes,yes,no,yes,illegal under 18,no,no,no,no,no,no,no,,,no,,,yes,no,no,,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,phone in home,"friendly,interested",good,alternate <y>,poor,-999 to 999,c,b,africa,names 1,e,d,c,e,d,d,,manufacturing labourers not elsewhere classified,"cleaners and helpers in offices, hotels and other establishments",e,e,e,c,c,b,b,b,b,yes,stay out,stay in,good form,c,c,129,d
