wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,cappun,gunlaw,courts,wirtap,grass,relig,denom,other,fund,attend,reliten,postlife,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,racmar,racpush,racopen,raclive,racclos,racdis,racinteg,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,helpful,fair,trust,satcity,sathobby,satfam,satfrnd,sathealt,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,manners,success,honest,clean,judgment,control,role,amicable,obeys,responsi,consider,interest,studious,socrel,socommun,socfrend,socbar,aged,satjob,class,satfin,finalter,finrela,unemp,govaid,union,fehome,fework,fepres,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,porninf,pornmorl,pornrape,pornout,pornlaw,xmovie,hit,hitage,hitnum,gun,gunage,gunnum,hitok,hitmarch,hitdrunk,hitchild,hitbeatr,hitrobbr,polhitok,polabuse,polmurdr,polescap,polattak,news,tvhours,phone,coop,comprend,helppoor,helpnot,helpsick,helpblk,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,GENDER1,OLD1,MAR1,WHERE1,RELATE2,GENDER2,OLD2,MAR2,RELATE3,GENDER3,OLD3,MAR3,WHERE3,RELATE4,GENDER4,OLD4,MAR4,RELATE5,GENDER5,OLD5,MAR5,RELATE6,GENDER6,OLD6,MAR6,RELATE7,GENDER7,OLD7,MAR7,RELATE8,GENDER8,OLD8,MAR8,RELATE9,GENDER9,OLD9,RELATE10,OLD10,RELATE11,GENDER11,OLD11,MAR11,RELATE12,GENDER12,OLD12,MAR12,RELATE13,GENDER13,OLD13,RELATE14,GENDER14,OLD14,hhrace,respnum,hhtype,HHTYPE1,famgen,rplace,rvisitor,visitors,dateintv,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,uswar,usintl,usun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,sample,wtssall,vstrat,vpsu
working fulltime,c,e,,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",never married,e,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,c,c,c,c,e,high school,lt high school,high school,,female,white,city gt 250000,pacific,same city,mother & father,,yes,no,yes,average,1,0,0,0,1,e,b,$8000 to 9999,$8000 to 9999,pacific,city gt 250000,12 lrgst smsa's,362,c,c,c,c,c,c,e,e,e,e,e,e,c,c,b,c,c,c,not str democrat,voted,mcgovern,,slghtly conservative,about right,too little,too little,too little,too little,about right,about right,too little,too much,too much,about right,favor,favor,not harsh enough,disapprove,legal,catholic,,,moderate,never,not very strong,no,catholic,,,moderate,,,,,,,,,approve,no,agree slightly,cant discriminate,yes,yes,same block,stay integrated,no,no,"yes, object",oppose,yes,very happy,,excellent,helpful,fair,can't be too careful,quite a bit,very great deal,great deal,great deal,great deal,a great deal,only some,a great deal,only some,hardly any,only some,only some,a great deal,only some,only some,a great deal,a great deal,hardly any,not mentioned,not mentioned,3 most desirable,3 least desirable,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,not mentioned,1 most desirable,not mentioned,3 least desirable,sev times a mnth,never,sev times a week,once a month,a good idea,very satisfied,working class,more or less,better,average,no,no,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,yes,c,c,available,available,favor,stay same,not wrong at all,yes,yes,no,no,illegal under 18,yes,yes,child,once,no,,,yes,no,no,no,yes,yes,no,,,,,few times a week,c,phone in home,"friendly,interested",good,c,c,d,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,mexico,names 1,none,,female,b,never married,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,e,c,c,e,c,c,e,administrative and executive secretaries,metal working machine tool setters and operators,,c,c,c,c,c,c,e,e,e,yes,stay out,stay in,c,c,a,c,c,c,c,c,c,e,164,1970 fp,b,7032,2
working fulltime,d,e,,c,c,someone else,d,not found,d,,"not found, coded","not found, assigned",d,d,d,"not found, coded","not found, assigned",married,c,no,working fulltime,c,e,,c,c,someone else,b,c,,"not found, coded","not found, assigned",c,c,"communications, and audio and video equipment manufacturing","not found, coded","not found, assigned",b,d,self-employed,d,b,,"not found, coded","not found, assigned",d,d,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,b,b,d,c,c,d,bachelor,high school,high school,bachelor,male,white,"country,nonfarm",w. nor. central,different state,mother & father,,yes,no,no,average,2,0,0,0,2,c,c,$10000 - 14999,$6000 to 6999,pacific,city gt 250000,smsa's 13-100,697,e,e,e,e,e,e,c,c,c,c,c,c,b,c,d,c,c,c,"ind,near rep",voted,nixon,,slightly liberal,too much,too little,about right,about right,too much,too little,too little,about right,too much,too much,too little,favor,favor,not harsh enough,disapprove,legal,protestant,methodist-dk which,,moderate,never,not very strong,yes,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,protestant,other,united church of christ,liberal,disapprove,no,agree slightly,cant discriminate,yes,yes,same block,stay integrated,no,no,no,oppose,yes,pretty happy,very happy,good,lookout for self,take advantage,can trust,great deal,some,great deal,quite a bit,some,a great deal,hardly any,a great deal,hardly any,only some,only some,only some,a great deal,only some,a great deal,a great deal,only some,hardly any,not mentioned,3 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 least desirable,not mentioned,once a year,never,sev times a mnth,sev times a year,a bad idea,very satisfied,middle class,more or less,stayed same,average,no,no,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,yes,c,c,available,available,favor,easier,not wrong at all,yes,no,no,yes,illegal under 18,yes,no,,,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,e,e,b,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,ireland,chooses 1 of 2+,2 to 4  years,navy,male,b,married,,spouse,female,c,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,0kids","married couple, no children",1 gen,head of household,r. is household member,no visitors,c,c,b,c,b,b,c,"armed forces occupations, other ranks","supply, distribution and related managers",production clerks,c,c,c,d,d,d,c,c,c,yes,active part,stay in,c,d,c,c,b,b,c,b,d,d,166,1970 fp,c,7033,2
other,e,e,yes,c,c,someone else,c,not found,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned",married,c,no,keeping house,e,e,yes,c,c,someone else,d,c,,"not found, coded","not found, assigned",c,c,"justice, public order, and safety activities","not found, coded","not found, assigned",c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,c,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,d,c,e,c,c,lt high school,,,high school,male,white,city gt 250000,pacific,"same st,dif city",mother & father,,no,,,average,2,0,0,0,2,c,b,$5000 to 5999,,pacific,city gt 250000,smsa's 13-100,697,c,c,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,c,independent,voted,nixon,,slghtly conservative,about right,about right,too little,,too little,about right,too much,about right,too little,too much,about right,favor,favor,not harsh enough,approve,not legal,protestant,methodist-dk which,,moderate,never,not very strong,,protestant,baptist-dk which,,fundamentalist,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,disapprove,no,agree strongly,owner decides,no,,,,no,no,no,oppose,no,not too happy,pretty happy,poor,lookout for self,take advantage,depends,none,a little,a fair amount,quite a bit,quite a bit,a great deal,,only some,hardly any,hardly any,only some,only some,hardly any,hardly any,hardly any,only some,hardly any,only some,3 least desirable,1 most desirable,3 most desirable,3 most desirable,not mentioned,not mentioned,3 least desirable,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,not mentioned,sev times a year,sev times a year,sev times a year,never,depends,,lower class,not at all sat,stayed same,far below average,yes,yes,neither belongs,disagree,disapprove,no,agree,yes,yes,yes,yes,yes,yes,e,no,e,e,not available,not available,favor,,almst always wrg,no,yes,yes,,illegal to all,no,no,,,no,,,yes,no,no,,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,c,c,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,czechoslovakia,names 1,none,,male,c,married,,spouse,female,d,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,0kids","married couple, no children",1 gen,head of household,r. is household member,no visitors,c,c,c,c,c,c,c,"statistical, mathematical and related associate professionals",cabinet-makers and related workers,accounting and bookkeeping clerks,c,c,c,c,c,c,c,c,c,yes,active part,stay in,e,e,e,e,e,e,e,e,b,c,166,1970 fp,c,7033,2
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,yes,working fulltime,d,e,,c,b,self-employed,c,c,verbatims for sp,"found, coded",found,b,b,other direct selling establishments,"found, coded",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,lt high school,lt high school,high school,lt high school,male,white,farm,mountain,different state,mother & stpfather,parent died,yes,yes,no,below average,2,0,0,0,2,c,c,$15000 - 19999,$15000 - 19999,pacific,city gt 250000,smsa's 13-100,697,c,c,b,c,c,c,c,c,c,c,b,b,c,c,c,c,c,c,strong republican,voted,nixon,,moderate,too much,too little,too little,too little,too little,too little,too little,too little,about right,too much,too much,favor,oppose,not harsh enough,disapprove,not legal,protestant,lutheran-dk which,,moderate,never,not very strong,yes,protestant,baptist-dk which,,fundamentalist,protestant,lutheran-dk which,,moderate,protestant,methodist-dk which,,moderate,disapprove,no,agree strongly,owner decides,no,,,,no,no,no,oppose,yes,very happy,very happy,excellent,helpful,fair,can trust,very great deal,very great deal,very great deal,very great deal,very great deal,a great deal,only some,only some,only some,hardly any,hardly any,only some,only some,only some,only some,only some,hardly any,only some,3 most desirable,3 least desirable,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,1 most desirable,3 least desirable,3 most desirable,not mentioned,not mentioned,sev times a year,sev times a week,once a month,once a year,a bad idea,mod. satisfied,working class,not at all sat,worse,below average,no,no,r belongs,disagree,disapprove,yes,agree,yes,no,yes,yes,yes,yes,c,no,e,e,available,available,favor,easier,not wrong at all,no,no,yes,yes,illegal under 18,no,yes,child,4+ times,no,,,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"friendly,interested",good,c,d,b,c,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,d,c,d,scotland,chooses 1 of 2+,2 to 4  years,navy,male,c,married,,spouse,female,c,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"2adlts,mar,0kids","married couple, no children",1 gen,head of household,r. is household member,no visitors,e,d,c,c,c,b,d,information and communications technology installers and servicers,agricultural and forestry production managers,sales workers,c,c,d,c,c,c,c,c,c,yes,active part,stay in,c,c,c,c,c,c,c,c,c,c,166,1970 fp,c,7033,2
school,e,e,yes,d,b,someone else,c,found,c,verbatims for r,"found, coded",found,c,b,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,b,c,verbatims for sp,"found, coded",found,c,c,commercial and service industry machinery manufacturing,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,b,b,d,e,d,c,junior college,,bachelor,high school,female,white,town lt 50000,pacific,"same st,dif city",mother,"divorce,separated",yes,yes,yes,above average,2,0,0,0,2,c,c,$6000 to 6999,,pacific,city gt 250000,smsa's 13-100,697,d,c,c,c,b,b,b,b,c,d,d,d,e,e,e,e,e,e,not str democrat,voted,mcgovern,,extremely liberal,too little,too little,too little,too little,about right,about right,too little,too little,too much,too much,about right,oppose,favor,,disapprove,legal,none,,,liberal,never,no religion,yes,none,,,liberal,other,,,,protestant,other,dutch reform,moderate,approve,no,disagree strongly,cant discriminate,no,,,,no,no,no,favor,yes,pretty happy,very happy,good,lookout for self,take advantage,can't be too careful,none,very great deal,very great deal,quite a bit,a fair amount,hardly any,only some,hardly any,only some,hardly any,only some,only some,hardly any,only some,a great deal,only some,only some,hardly any,not mentioned,3 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,3 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,once a month,sev times a mnth,once a month,never,a bad idea,,lower class,not at all sat,worse,below average,yes,yes,neither belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,yes,c,c,available,available,favor,easier,not wrong at all,yes,no,no,yes,legal,no,yes,adult,once,yes,,once,yes,no,no,no,yes,yes,no,,,,,few times a week,c,phone in home,"friendly,interested",good,b,c,b,b,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,russia,chooses 1 of 2+,none,,male,b,married,,spouse,female,b,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,0kids","married couple, no children",1 gen,spouse,r. is household member,no visitors,c,c,e,c,c,e,c,waiters,,manufacturing supervisors,c,c,b,e,e,e,c,c,c,yes,stay out,stay in,d,c,c,c,c,e,d,c,d,d,166,1970 fp,c,7033,2
keeping house,e,e,yes,c,c,self-employed,c,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,widowed,e,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,b,c,self-employed,c,c,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,b,b,d,c,e,e,e,high school,,,,female,white,50000 to 250000,pacific,same city,m and f relatives,parent died,,,,below average,1,0,0,0,1,e,b,$3000 to 3999,,pacific,"city,50-250000",smsa's 13-100,155,c,c,b,c,c,c,e,e,e,e,e,e,c,c,d,c,c,c,independent,voted,nixon,,moderate,about right,too much,,too little,too little,about right,about right,too little,too little,about right,about right,favor,favor,not harsh enough,disapprove,not legal,none,,,liberal,once a month,no religion,no,protestant,other,first christian,moderate,,,,,,,,,approve,no,agree strongly,owner decides,yes,yes,same block,all black,no,no,no,favor,yes,not too happy,,excellent,helpful,fair,can trust,quite a bit,very great deal,quite a bit,great deal,very great deal,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,hardly any,hardly any,a great deal,a great deal,a great deal,not mentioned,3 least desirable,1 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,1 least desirable,3 least desirable,3 most desirable,not mentioned,3 most desirable,not mentioned,sev times a year,never,sev times a week,never,a bad idea,very satisfied,middle class,satisfied,stayed same,below average,no,no,neither belongs,disagree,approve,yes,agree,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,easier,almst always wrg,yes,yes,yes,yes,legal,no,no,,,no,,,yes,no,no,no,yes,yes,no,,,,,everyday,c,phone in home,"friendly,interested",good,d,c,c,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,b,e,england & wales,chooses 1 of 2+,none,,female,d,widowed,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,b,e,c,d,e,"sewing, embroidery and related workers",building construction labourers,,c,c,c,c,b,c,e,e,e,no,active part,stay in,d,d,c,c,c,d,c,c,b,c,168,1970 fp,b,7034,2
working fulltime,d,e,,d,b,self-employed,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,d,d,verbatims for pa,"found, coded",found,c,c,d,"found, coded",found,"found, iap",found,"found, iap",found,b,d,c,c,c,c,e,high school,high school,high school,,male,white,big-city suburb,pacific,"same st,dif city",mother & stpfather,parent died,no,,,below average,1,0,0,0,1,e,c,$3000 to 3999,$3000 to 3999,pacific,"city,50-250000",smsa's 13-100,155,d,c,c,c,b,c,e,e,e,e,e,e,e,e,e,e,e,e,"ind,near dem",voted,other,,liberal,too much,too much,about right,about right,about right,too much,about right,too much,about right,too much,too much,favor,favor,not harsh enough,disapprove,not legal,protestant,no denomination,,moderate,never,not very strong,no,protestant,no denomination,,moderate,,,,,,,,,disapprove,no,agree strongly,owner decides,yes,yes,1-3 blks away,stay integrated,no,"yes, object",,oppose,no,not too happy,,good,helpful,take advantage,can't be too careful,a fair amount,quite a bit,quite a bit,great deal,great deal,hardly any,only some,only some,only some,hardly any,hardly any,only some,only some,only some,a great deal,only some,only some,only some,not mentioned,3 least desirable,1 most desirable,not mentioned,3 most desirable,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,3 least desirable,once a month,never,sev times a week,sev times a week,a good idea,very satisfied,middle class,satisfied,stayed same,far below average,no,no,neither belongs,agree,disapprove,no,agree,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,easier,not wrong at all,yes,no,no,no,illegal to all,no,yes,adult,4+ times,yes,adult,2-3 times,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,everyday,c,phone in home,"restless,impatient",good,d,d,d,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,-999 to 999,c,c,b,c,england & wales,names 1,2 to 4  years,navy,male,c,divorced,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,c,c,e,c,b,e,bartenders,"armed forces occupations, other ranks",,c,c,b,c,d,b,e,e,e,yes,active part,pull out,b,c,c,b,c,c,a,b,c,c,168,1970 fp,b,7034,2
keeping house,e,e,no,e,e,,e,not found,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned",separated,b,,,e,e,,e,e,,e,e,,"not found, iap","not found, assigned",e,e,,"not found, iap","not found, assigned",e,e,,e,e,,"not found, iap","not found, assigned",e,e,e,"not found, iap","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,b,c,e,c,e,lt high school,,high school,,female,white,50000 to 250000,pacific,same city,mother,"divorce,separated",yes,no,yes,average,7,4,1,0,2,c,b,$4000 to 4999,,pacific,"city,50-250000",smsa's 13-100,155,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,"ind,near dem",did not vote,,mcgovern,moderate,too much,about right,too little,too little,about right,too little,about right,about right,about right,too much,about right,oppose,favor,,disapprove,not legal,other,,,,2-3x a month,strong,yes,protestant,methodist-dk which,,moderate,,,,,,,,,disapprove,no,agree slightly,cant discriminate,yes,no,1-3 blks away,stay integrated,no,no,no,oppose,yes,pretty happy,,good,helpful,fair,can't be too careful,great deal,very great deal,very great deal,great deal,great deal,only some,only some,hardly any,only some,only some,only some,a great deal,only some,only some,only some,a great deal,only some,a great deal,not mentioned,3 least desirable,1 most desirable,not mentioned,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,not mentioned,3 most desirable,3 least desirable,sev times a week,sev times a mnth,once a month,sev times a mnth,a bad idea,mod. satisfied,working class,not at all sat,better,below average,no,yes,neither belongs,disagree,approve,yes,disagree,yes,no,no,no,no,no,c,no,e,e,available,available,favor,more difficult,sometimes wrong,yes,yes,,no,illegal to all,no,yes,both,2-3 times,no,,,yes,no,no,yes,yes,yes,yes,no,no,no,yes,everyday,e,phone elsewhere,"friendly,interested",good,b,c,c,c,no,no,no,no,no,no,no,yes,yes,no,,no,no,no,no,no,c,poor,"-4,999 to -1,000",c,e,c,e,czechoslovakia,names 1,none,,female,b,divorced,another household,child,male,a,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,other relative,female,c,separated,other relative,male,c,,other relative,male,c,other relative,male,c,white,11th person,"2adlts,ntmar,rel,1+kids",other family w children,"2 gens, children",other relative,r. is visitor,4 visitors,c,e,e,e,e,e,e,,,,e,e,e,e,e,e,e,e,e,yes,stay out,stay in,d,c,c,c,c,b,c,c,d,c,168,1970 fp,c,7034,2
keeping house,e,e,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,widowed,c,no,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,d,c,self-employed,b,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,d,b,e,e,e,lt high school,,,,female,white,farm,w. nor. central,different state,mother & father,,no,,,far below average,1,0,0,0,1,e,b,$3000 to 3999,,pacific,"city,50-250000",smsa's 13-100,155,e,e,e,e,e,e,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near dem",,,mcgovern,moderate,too much,too little,too little,too little,too little,too little,too little,,too much,too much,too little,oppose,favor,not harsh enough,disapprove,not legal,none,,,liberal,never,no religion,no,protestant,,,,,,,,,,,,disapprove,yes,agree strongly,cant discriminate,yes,yes,same block,,no,no,no,oppose,no,pretty happy,,excellent,lookout for self,take advantage,can't be too careful,none,none,some,none,great deal,only some,,only some,only some,hardly any,hardly any,only some,hardly any,only some,only some,only some,hardly any,only some,not mentioned,not mentioned,1 most desirable,3 most desirable,not mentioned,not mentioned,3 most desirable,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,almost daily,never,never,never,a bad idea,very satisfied,middle class,more or less,stayed same,below average,yes,no,neither belongs,agree,disapprove,no,agree,yes,no,yes,yes,yes,yes,c,inappropriate,e,e,available,available,oppose,more difficult,sometimes wrong,yes,yes,yes,yes,illegal to all,no,no,,,no,,,no,,,,,,yes,no,yes,no,yes,few times a week,b,"phone,dk where","friendly,interested",good,d,c,d,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,b,e,finland,names 1,none,,female,d,widowed,,,,e,,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,1st person,"1adlt,0kids",single adult,1 gen,head of household,r. is household member,no visitors,c,e,c,e,e,b,e,,agricultural and forestry production managers,,e,e,e,c,c,c,e,e,e,no,stay out,pull out,d,d,c,c,c,d,d,d,b,b,168,1970 fp,b,7034,2
keeping house,e,e,yes,d,b,someone else,c,found,c,verbatims for r,"found, coded",found,c,b,c,"found, coded",found,married,b,no,working fulltime,d,e,,c,b,self-employed,c,d,verbatims for sp,"found, coded",found,b,b,taxi and limousine service,"found, coded",found,b,c,self-employed,d,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,lt high school,lt high school,lt high school,high school,female,white,town lt 50000,pacific,same city,mother & father,,yes,no,,average,2,0,0,0,2,c,c,$5000 to 5999,,pacific,"city,50-250000",smsa's 13-100,155,d,c,c,c,b,c,c,c,c,c,b,b,c,c,d,c,c,c,not str democrat,did not vote,,mcgovern,moderate,too much,too little,too little,too little,too little,too little,too little,too little,too much,too much,too much,favor,favor,not harsh enough,disapprove,not legal,protestant,other,first christian disciples of christ,moderate,never,not very strong,yes,protestant,other,first christian disciples of christ,moderate,protestant,methodist-dk which,,moderate,protestant,methodist-dk which,,moderate,disapprove,no,agree slightly,owner decides,yes,yes,same block,stay integrated,no,no,no,oppose,yes,not too happy,very happy,fair,helpful,take advantage,can't be too careful,great deal,quite a bit,great deal,great deal,a fair amount,only some,only some,a great deal,only some,hardly any,only some,only some,hardly any,only some,only some,a great deal,only some,only some,3 least desirable,not mentioned,1 most desirable,3 least desirable,not mentioned,not mentioned,1 least desirable,not mentioned,not mentioned,3 most desirable,3 most desirable,not mentioned,not mentioned,sev times a week,sev times a week,sev times a mnth,once a month,a good idea,very satisfied,working class,satisfied,better,average,no,no,spouse belongs,disagree,approve,yes,disagree,yes,yes,yes,yes,yes,yes,c,no,e,e,available,available,favor,more difficult,not wrong at all,no,no,no,no,illegal under 18,no,no,,,no,,,no,,,,,,no,,,,,everyday,d,phone in home,"friendly,interested",good,b,c,b,c,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,france,names 1,none,,male,c,married,,spouse,female,c,married,,,e,,,,,e,,,,e,,,,e,,,,e,,,,e,,,,e,,e,,,e,,,,e,,,,e,,,e,white,2nd person,"2adlts,mar,0kids","married couple, no children",1 gen,spouse,r. is household member,no visitors,c,c,b,d,c,b,d,waiters,shop supervisors,"car, taxi and van drivers",c,c,b,c,c,c,c,c,c,yes,stay out,stay in,b,c,d,c,c,d,d,c,c,c,168,1970 fp,c,7034,2
