wrkstat,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,INCOME72,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE68,PRES68,IF68WHO,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,CAPPUN2,gunlaw,courts,relig,denom,other,fund,attend,racmar,racdin,racpush,racseg,raclive,racclos,racdis,racinteg,racobjct,racschol,racfew,rachaf,racmost,busing,racpres,racjob,happy,health,helpful,fair,trust,satjob,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,fework,fepres,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,premarsx,news,COOP2,comprend,povline,incdef,realinc,coninc,ethnic,ethnum,workdy,workhr,spdays,sphour,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,cohort,marcohrt,wtssall
working fulltime,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,keeping house,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,b,"apparel, fabrics, and notions, merchant wholesalers","found, coded",found,a,e,someone else,c,c,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,d,c,c,high school,high school,high school,high school,male,white,city gt 250000,foreign,different state,mother & father,,3,0,0,c,c,c,c,$6000 to $7999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,c,c,c,c,c,c,c,c,c,c,c,c,b,c,c,e,d,e,strong democrat,not eligible,,other,not allowed,not allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"yes,favor",favor,not harsh enough,catholic,,,moderate,nrly every week,no,not object,agree strongly,disagree strongly,yes,no,1-3 blks away,stay integrated,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,good,lookout for self,,can't be too careful,very satisfied,middle class,more or less,stayed same,average,yes,yes,yes,no,approve,no,yes,no,yes,no,yes,no,c,no,e,e,sometimes wrong,few times a week,friendly and eager,good,not poor,"1,000 to 4,999",c,c,other spanish,chooses 1 of 2+,"mon to fri,sat",reg day,,,c,a,c,c,b,c,general office clerks,construction supervisors,shop sales assistants,c,c,c,c,c,d,c,c,c,c,c,c
working fulltime,,c,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,e,no,working fulltime,,b,d,someone else,d,b,verbatims for sp,"found, coded",found,d,d,elementary and secondary schools,"found, coded",found,b,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,a,a,d,high school,lt high school,lt high school,bachelor,male,white,city gt 250000,middle atlantic,,mother & father,below average,5,0,0,e,c,c,c,$25000 to $29999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,c,c,c,d,c,c,a,c,d,c,d,c,c,d,c,c,c,not str republican,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,,not remove,"yes,favor",favor,not harsh enough,catholic,,,moderate,more thn once wk,no,not object,disagree strongly,disagree strongly,no,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,good,helpful,fair,can trust,a little dissat,middle class,satisfied,stayed same,average,yes,yes,yes,yes,approve,yes,no,no,yes,no,yes,no,c,no,e,e,always wrong,everyday,friendly and eager,good,not poor,"20,001 +",e,e,italy,names 1,mon to fri,reg day,mon to fri,reg day,c,b,b,b,b,b,"supply, distribution and related managers",business services and administration managers not elsewhere classified,primary school teachers,d,d,d,d,d,d,e,d,d,c,c,c
school,yes,b,d,someone else,c,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,never married,e,,,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,b,b,c,d,d,c,e,bachelor,graduate,high school,,male,white,big-city suburb,pacific,different state,mother & father,average,3,0,0,c,c,c,c,$12500 to $14999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,c,c,d,d,d,e,e,e,e,e,e,b,b,c,c,d,c,"ind,near rep",voted,nixon,,allowed,not allowed,,allowed,not allowed,,allowed,not fired,,"yes,favor",favor,not harsh enough,protestant,lutheran-dk which,,moderate,2-3x a month,no,not object,disagree slightly,disagree slightly,yes,no,4-8 blks away,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,pretty happy,good,helpful,,can trust,,middle class,satisfied,better,above average,,,,,disapprove,yes,,yes,yes,,yes,no,c,yes,c,c,always wrong,everyday,cooperative,good,not poor,"10,000 to 20,000",c,c,norway,names 1,,,,,b,c,e,b,b,e,accountants,construction supervisors,,d,d,d,c,c,d,e,e,e,c,e,c
keeping house,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,,c,c,someone else,c,b,verbatims for sp,"found, coded",found,c,c,"resin, synthetic rubber and fibers, and filaments manufacturing","found, coded",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,high school,lt high school,lt high school,high school,female,white,town lt 50000,e. nor. central,different state,mother & father,average,4,1,1,c,c,c,c,$10000 to $12499,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,c,c,c,c,c,b,b,c,d,d,d,c,c,c,c,c,c,not str republican,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,not harsh enough,protestant,other,"brethren church, brethren",moderate,lt once a year,no,not object,agree slightly,agree slightly,yes,yes,1-3 blks away,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,very happy,excellent,helpful,fair,can trust,,middle class,more or less,better,average,yes,yes,yes,yes,approve,yes,yes,no,yes,no,yes,no,c,no,e,e,always wrong,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,ireland,names 1,,,mon to fri,reg day,c,d,b,c,c,b,filing and copying clerks,bus and tram drivers,manufacturing managers,c,c,c,c,c,c,d,c,d,c,c,c
working fulltime,,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,yes,keeping house,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,b,b,traveler accommodation,"found, coded",found,b,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,c,high school,lt high school,lt high school,lt high school,male,white,city gt 250000,middle atlantic,"same st,dif city",mother & father,below average,4,0,1,c,c,c,c,$12500 to $14999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,c,c,c,c,c,d,c,b,c,b,c,c,c,d,c,c,c,not str republican,did not vote,,wallace,allowed,allowed,not remove,allowed,allowed,not remove,not allowed,fired,not remove,"yes,favor",oppose,not harsh enough,catholic,,,moderate,sevrl times a yr,no,not object,agree strongly,disagree slightly,yes,no,1-3 blks away,stay integrated,no difference,separate schools,no,"yes, object",,oppose,no,as good a chance,not too happy,good,lookout for self,take advantage,can't be too careful,mod. satisfied,working class,more or less,better,average,yes,yes,yes,no,disapprove,no,yes,yes,yes,yes,yes,yes,c,no,e,e,not wrong at all,everyday,friendly and eager,good,not poor,"5,000 to 9,999",c,c,italy,chooses 1 of 2+,wkend plus,varies,,,c,c,c,c,c,c,locomotive engine drivers and related workers,locomotive engine drivers and related workers,telephone switchboard operators,c,c,d,d,c,d,c,c,b,c,c,c
keeping house,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,c,no,working fulltime,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,"fabric mills, except knitting mills","found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,b,c,high school,,lt high school,high school,female,white,city gt 250000,middle atlantic,"same st,dif city",mother,average,3,0,0,c,c,c,c,$20000 to $24999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,c,c,c,c,c,b,b,c,d,d,d,e,e,e,e,e,e,not str democrat,voted,humphrey,,not allowed,allowed,not remove,allowed,allowed,remove,not allowed,fired,remove,"yes,favor",favor,not harsh enough,jewish,,,liberal,sevrl times a yr,no,not object,agree slightly,agree slightly,yes,yes,same block,stay integrated,no difference,same schools,no,no,no,oppose,yes,as good a chance,pretty happy,fair,helpful,fair,can trust,,working class,more or less,stayed same,average,no,,yes,no,disapprove,yes,yes,yes,yes,yes,yes,yes,c,no,e,e,sometimes wrong,everyday,friendly and eager,good,not poor,"10,000 to 20,000",d,d,russia,names 1,,,mon to fri,reg day,c,e,b,c,e,b,accounting and bookkeeping clerks,,office supervisors,c,c,c,e,e,e,c,c,c,c,c,c
keeping house,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,,b,e,someone else,d,b,verbatims for sp,"found, coded",found,d,d,"residential care facilities, without nursing","found, coded",found,b,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,b,c,d,c,d,high school,high school,high school,bachelor,female,white,town lt 50000,middle atlantic,different state,mother & father,above average,3,1,0,c,c,c,c,$6000 to $7999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,c,c,c,c,c,b,a,c,e,d,e,c,c,d,c,c,c,not str republican,not eligible,,nixon,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"yes,favor",favor,not harsh enough,catholic,,,moderate,lt once a year,no,not object,disagree slightly,disagree strongly,,,,,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,excellent,lookout for self,take advantage,can trust,,working class,more or less,stayed same,average,yes,yes,yes,no,approve,no,yes,yes,yes,yes,yes,yes,c,yes,c,c,sometimes wrong,less than once wk,friendly and eager,good,not poor,"1,000 to 4,999",c,c,ireland,names 1,,,"mon to fri,sat",other,c,b,b,c,b,b,general office clerks,business services and administration managers not elsewhere classified,social work and counselling professionals,c,c,c,d,d,d,d,d,c,d,d,c
working fulltime,,c,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,keeping house,yes,b,d,someone else,c,c,verbatims for sp,"found, coded",found,d,d,hospitals,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,b,c,c,e,c,c,c,graduate,lt high school,high school,high school,male,white,50000 to 250000,e. nor. central,different state,mother & father,average,3,1,0,c,c,c,c,$20000 to $24999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,b,a,c,e,d,e,c,c,c,c,d,d,c,c,b,c,c,c,not str republican,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,not harsh enough,catholic,,,moderate,sevrl times a yr,no,not object,agree slightly,disagree slightly,yes,no,1-3 blks away,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,pretty happy,excellent,depends,fair,can trust,very satisfied,middle class,more or less,better,above average,yes,yes,yes,yes,approve,no,yes,yes,yes,yes,yes,yes,c,yes,c,c,sometimes wrong,everyday,friendly and eager,good,not poor,"10,000 to 20,000",d,d,ireland,chooses 1 of 2+,mon to fri,reg day,,,b,c,b,b,c,b,education managers,agricultural and industrial machinery mechanics and repairers,nursing professionals,d,d,d,c,c,c,e,d,d,c,c,c
keeping house,yes,c,c,someone else,c,not found,d,,"not found, no code assigned","not found, not assigned",e,e,c,"not found, coded","not found, assigned",married,c,no,working fulltime,,c,c,someone else,c,c,,"not found, coded","not found, assigned",c,c,uncodeable,"not found, no code assigned","not found, not assigned",d,c,someone else,d,c,,"not found, coded","not found, assigned",c,c,d,"not found, coded","not found, assigned","not found, iap","not found, assigned","not found, iap","not found, assigned",c,c,c,c,c,c,c,high school,lt high school,lt high school,high school,female,white,city gt 250000,middle atlantic,"same st,dif city",mother & father,average,4,0,1,c,c,c,c,$6000 to $7999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,c,c,c,c,c,b,c,c,c,c,c,c,c,c,c,c,c,independent,voted,nixon,,not allowed,not allowed,not remove,allowed,allowed,not remove,not allowed,fired,remove,"yes,favor",favor,not harsh enough,catholic,,,moderate,sevrl times a yr,no,not object,disagree slightly,disagree slightly,yes,yes,same block,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,very happy,good,helpful,take advantage,can trust,,middle class,more or less,better,average,yes,no,yes,no,approve,yes,yes,no,yes,no,yes,no,c,no,e,e,not wrong at all,few times a week,friendly and eager,good,not poor,"1,000 to 4,999",c,c,rumania,names 1,,,"mon to fri,sat",reg day,c,c,c,d,c,c,uncodeable,hairdressers,protective services workers not elsewhere classified,e,e,e,b,c,b,c,c,c,c,c,c
working fulltime,,b,e,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,d,"found, coded",found,married,c,no,keeping house,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,printing and related support activities,"found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,d,c,c,c,high school,high school,,high school,male,white,city gt 250000,middle atlantic,"same st,dif city",mother & father,average,2,0,0,c,c,c,c,$25000 to $29999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,b,c,b,d,d,d,c,c,c,c,b,c,d,c,c,b,b,c,strong republican,voted,nixon,,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,about right,catholic,,,moderate,every week,no,not object,agree strongly,disagree strongly,yes,yes,same block,stay integrated,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,good,helpful,fair,can trust,mod. satisfied,middle class,satisfied,stayed same,above average,yes,yes,yes,yes,approve,yes,yes,no,yes,no,yes,no,d,no,e,e,not wrong at all,everyday,friendly and eager,good,not poor,"20,001 +",e,e,italy,names 1,mon to fri,reg day,,,b,c,c,b,c,c,civil engineers,assemblers not elsewhere classified,general office clerks,e,d,e,c,c,c,c,c,c,c,c,c
working fulltime,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,working fulltime,,b,d,someone else,d,b,verbatims for sp,"found, coded",found,d,d,elementary and secondary schools,"found, coded",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,b,b,b,d,c,c,d,bachelor,lt high school,high school,bachelor,male,white,town lt 50000,middle atlantic,same city,mother & father,below average,2,0,0,c,c,c,c,$12500 to $14999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,a,c,d,d,d,c,a,c,d,c,d,d,c,c,c,b,c,independent,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"no,dont favor",favor,not harsh enough,catholic,,,moderate,2-3x a month,no,not object,agree slightly,disagree strongly,yes,yes,same block,stay integrated,no difference,same schools,no,no,no,oppose,yes,as good a chance,pretty happy,excellent,lookout for self,fair,can trust,very satisfied,middle class,more or less,stayed same,average,yes,yes,no,,approve,yes,yes,no,yes,no,yes,yes,c,yes,c,c,not wrong at all,everyday,cooperative,good,not poor,"10,000 to 20,000",c,c,ireland,chooses 1 of 2+,mon to fri,reg day,mon to fri,reg day,b,c,b,b,c,b,secondary education teachers,manufacturing labourers not elsewhere classified,primary school teachers,e,d,d,c,c,c,e,d,d,d,d,c
working fulltime,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,working fulltime,,b,d,someone else,d,b,verbatims for sp,"found, coded",found,d,e,elementary and secondary schools,"found, coded",found,c,b,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,e,c,c,d,graduate,high school,high school,bachelor,male,white,town lt 50000,middle atlantic,different state,mother & father,average,2,0,0,c,c,c,c,$20000 to $24999,middle atlantic,"uninc,lrg city","suburb, 12 lrgst",7,c,a,c,d,d,d,c,a,c,d,d,d,d,c,d,a,a,b,"ind,near rep",voted,humphrey,,allowed,allowed,not remove,allowed,allowed,not remove,not allowed,fired,not remove,"yes,favor",favor,,jewish,,,liberal,lt once a year,no,not object,agree slightly,disagree strongly,yes,yes,same block,stay integrated,no difference,same schools,no,no,"yes, object",oppose,yes,as good a chance,pretty happy,excellent,depends,depends,depends,a little dissat,middle class,not at all sat,better,far above average,yes,yes,no,,approve,yes,yes,yes,yes,yes,yes,yes,c,uncertain,e,e,not wrong at all,everyday,cooperative,good,not poor,"10,000 to 20,000",d,d,czechoslovakia,chooses 1 of 2+,mon to fri,reg day,mon to fri,reg day,b,d,b,b,c,b,secondary education teachers,manufacturing labourers not elsewhere classified,secondary education teachers,e,d,d,c,c,c,e,d,d,d,d,c
school,yes,c,c,someone else,d,found,d,verbatims for r,"found, coded",found,d,d,d,"found, coded",found,never married,e,,,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,c,e,high school,high school,lt high school,,female,white,city gt 250000,middle atlantic,same city,mother & father,average,3,1,0,c,c,c,b,lt $2000,middle atlantic,city gt 250000,12 lrgst smsa's,7895,e,e,e,e,e,e,e,e,e,e,e,e,d,c,c,b,c,c,other party,voted,nixon,,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,about right,catholic,,,moderate,never,yes,not object,disagree strongly,disagree strongly,yes,yes,same block,stay integrated,"yes,would like it",same schools,no,no,no,oppose,yes,as good a chance,pretty happy,excellent,helpful,take advantage,can trust,,lower class,not at all sat,worse,far below average,,,,,approve,yes,yes,yes,yes,yes,yes,yes,c,uncertain,e,e,not wrong at all,everyday,friendly and eager,good,poor,"-4,999 to -1,000",b,b,puerto rico,names 1,,,,,c,d,e,b,c,e,"armed forces occupations, other ranks",ships' deck crews and related workers,,c,c,c,c,c,c,e,e,e,c,e,c
working fulltime,,b,c,someone else,d,found,b,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,working fulltime,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,automotive repair and maintenance,"found, coded",found,c,c,someone else,c,d,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,d,c,c,high school,high school,lt high school,high school,female,white,city gt 250000,middle atlantic,same city,mother & father,above average,3,1,0,c,c,c,c,$12500 to $14999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,a,c,d,d,c,d,c,c,c,c,c,d,c,c,b,c,c,not str republican,voted,nixon,,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,fired,not remove,"no,dont favor",favor,not harsh enough,catholic,,,moderate,once a month,no,,agree slightly,disagree strongly,yes,yes,same block,stay integrated,no difference,same schools,no,no,no,oppose,yes,as good a chance,very happy,excellent,helpful,fair,can trust,a little dissat,middle class,more or less,better,above average,yes,no,no,,approve,yes,yes,yes,yes,yes,yes,no,c,yes,c,c,,everyday,friendly and eager,good,not poor,"10,000 to 20,000",c,c,puerto rico,names 1,mon to fri,reg day,mon to fri,reg day,b,d,d,c,c,c,teachers' aides,ships' deck crews and related workers,welders and flamecutters,c,c,b,c,c,c,c,b,c,c,d,c
school,no,e,e,,e,found,e,no verbatims for r,"found, iap",found,e,e,e,"found, iap",found,never married,e,,,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,d,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,c,e,e,e,lt high school,high school,high school,,female,black,city gt 250000,middle atlantic,same city,mother & stpfather,average,7,0,2,c,e,c,d,,middle atlantic,city gt 250000,12 lrgst smsa's,7895,e,e,e,e,e,e,e,e,e,e,e,e,c,c,b,c,c,c,not str democrat,not eligible,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,"yes,favor",favor,not harsh enough,protestant,methodist-dk which,,moderate,nrly every week,,,,,,,,,,same schools,,,,oppose,,,pretty happy,excellent,helpful,fair,can trust,,middle class,satisfied,better,below average,,,,,approve,yes,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,sometimes wrong,everyday,friendly and eager,good,poor -- imputed,,e,e,non-span windies,names 1,,,,,e,c,e,e,c,e,,motor vehicle mechanics and repairers,,e,e,e,c,c,c,e,e,e,d,e,e
working fulltime,,c,c,someone else,b,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,e,no,working fulltime,,d,c,self-employed,c,c,verbatims for sp,"found, coded",found,c,c,beauty salons,"found, coded",found,c,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,d,c,c,c,e,e,c,lt high school,high school,high school,high school,male,black,"country,nonfarm",foreign,different state,mother & father,average,2,0,0,c,c,c,c,$15000 to $17499,middle atlantic,city gt 250000,12 lrgst smsa's,7895,c,c,b,c,d,c,c,c,b,c,c,c,c,c,c,c,c,c,not str democrat,did not vote,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"yes,favor",favor,not harsh enough,protestant,episcopal,,liberal,2-3x a month,,,,,,,,,,same schools,,,,oppose,,,pretty happy,good,helpful,depends,depends,very satisfied,working class,more or less,stayed same,average,yes,no,no,,approve,,,no,yes,no,,no,e,uncertain,e,e,almst always wrg,everyday,friendly and eager,good,not poor,"10,000 to 20,000",c,c,west indies,names 1,mon to fri,reg day,"mon to fri,sat",reg day,d,c,c,c,b,c,carpenters and joiners,agricultural and forestry production managers,hairdressers,c,c,c,c,c,c,c,c,c,c,c,c
school,yes,b,c,self-employed,d,found,b,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,never married,e,,,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,b,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,c,c,c,e,high school,high school,high school,,female,black,city gt 250000,middle atlantic,same city,mother & father,,10,1,1,e,e,c,d,$25000 to $29999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,c,c,c,c,c,e,e,e,e,e,e,c,c,c,c,c,c,"ind,near dem",did not vote,,humphrey,allowed,,,allowed,,,,,,"no,dont favor",oppose,,other,,,,every week,,,,,,,,,,same schools,,,,oppose,,,very happy,good,depends,fair,depends,,middle class,satisfied,better,above average,,,,,approve,yes,yes,yes,yes,yes,yes,yes,c,yes,e,e,,everyday,friendly and eager,good,not poor,"10,000 to 20,000",e,e,africa,names 1,,,,,c,d,e,c,c,e,buyers,printers,,c,c,c,c,c,c,e,e,e,d,e,e
working fulltime,,b,d,self-employed,c,found,b,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,never married,e,,,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,a,e,self-employed,d,b,verbatims for pa,"found, coded",found,e,e,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,c,d,d,c,e,high school,bachelor,high school,,male,black,town lt 50000,foreign,different state,mother & father,far above average,2,0,0,c,c,d,c,,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,c,b,d,d,c,e,e,e,e,e,e,b,c,b,e,d,e,not str republican,did not vote,,humphrey,allowed,allowed,not remove,allowed,allowed,not remove,allowed,fired,not remove,"yes,favor",favor,about right,protestant,other,7th day adventist,fundamentalist,every week,,,,,,,,,,same schools,,,,oppose,,,pretty happy,excellent,depends,depends,depends,very satisfied,middle class,satisfied,better,above average,no,,no,,approve,no,yes,yes,yes,yes,yes,yes,e,uncertain,e,e,not wrong at all,everyday,friendly and eager,good,not poor -- imputed,,e,e,other spanish,names 1,"mon to fri,sat",reg day,,,b,a,e,c,c,e,interior designers and decorators,building architects,,d,d,c,e,e,d,e,e,e,c,e,c
working fulltime,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,d,no,keeping house,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,a,c,lt high school,,lt high school,high school,male,black,city gt 250000,south atlantic,different state,mother,below average,2,0,0,c,c,c,c,$6000 to $7999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,c,c,c,c,c,c,e,e,e,e,e,e,e,e,e,e,e,e,other party,did not vote,,humphrey,allowed,not allowed,not remove,allowed,not allowed,not remove,allowed,not fired,not remove,"yes,favor",favor,,protestant,baptist-dk which,,fundamentalist,every week,,,,,,,,,,same schools,,,,oppose,,,pretty happy,excellent,depends,fair,can trust,a little dissat,working class,not at all sat,stayed same,below average,yes,no,,,,no,yes,yes,yes,yes,yes,yes,c,no,e,e,,everyday,cooperative,good,not poor,"1,000 to 4,999",c,c,west indies,names 1,"mon to fri,sat",reg day,,,c,e,e,c,e,e,stock clerks,,,c,c,c,e,e,e,e,e,e,c,c,c
working fulltime,,b,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,c,no,keeping house,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,b,someone else,c,d,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,a,a,c,b,lt high school,lt high school,lt high school,lt high school,male,white,city gt 250000,middle atlantic,,mother & father,average,6,0,1,e,c,c,c,$4000 to $5999,middle atlantic,city gt 250000,12 lrgst smsa's,7895,b,c,c,c,c,c,e,e,e,e,e,e,d,c,c,a,b,b,not str democrat,did not vote,,,not allowed,not allowed,not remove,not allowed,not allowed,not remove,not allowed,not fired,not remove,"yes,favor",favor,not harsh enough,protestant,no denomination,,moderate,2-3x a month,no,not object,agree slightly,disagree strongly,yes,yes,same block,all black,no difference,same schools,no,no,no,oppose,,as good a chance,not too happy,good,depends,depends,depends,very dissatisfied,lower class,not at all sat,stayed same,below average,no,,no,,disapprove,no,yes,no,yes,no,yes,no,c,no,e,e,almst always wrg,once a week,cooperative,good,borderline,-999 to 999,c,c,puerto rico,names 1,mon to fri,reg day,,,b,d,e,d,d,e,"cleaners and helpers in offices, hotels and other establishments",manufacturing labourers not elsewhere classified,,c,b,c,c,c,b,e,e,e,c,c,c
