wrkstat,HRS1,HRS2,evwork,occ,prestige,wrkslf,industry,found,OCC10,occindv,occstatus,occtag,PRESTG10,PRESTG105PLUS,INDUS10,indstatus,indtag,marital,agewed,divorce,spwrksta,SPHRS1,SPHRS2,spevwork,spocc,sppres,spwrkslf,spind,SPOCC10,spoccindv,spoccstatus,spocctag,SPPRES10,SPPRES105PLUS,SPIND10,spindstatus,spindtag,PAOCC16,PAPRES16,pawrkslf,PAIND16,PAOCC10,paoccindv,paoccstatus,paocctag,PAPRES10,PAPRES105PLUS,PAIND10,paindstatus,paindtag,maoccstatus,maocctag,maindstatus,maindtag,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,FAMILY16,FAMDIF16,mawork,mawkbaby,MAWK16,INCOM16,hompop,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,xnorcsiz,srcbelt,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,spdotdat,spdotpeo,spdotthn,spdotged,spdotsvp,spdotpre,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,partyid,VOTE72,PRES72,IF72WHO,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,spkath,colath,libath,spksoc,colsoc,libsoc,spkcom,colcom,libcom,spkhomo,colhomo,libhomo,cappun,gunlaw,courts,courtsy,wirtap,relig,denom,other,fund,attend,reliten,RELIG16,DENOM16,OTH16,FUND16,sprel,spden,spother,spfund,SPREL16,SPDEN16,SPOTH16,SPFUND16,prayer,prayery,racmar,racdin,raclive,racclos,racdis,racinteg,rachome,racfew,rachaf,racmost,busing,racpres,happy,hapmar,health,life,satcity,sathobby,satfam,satfrnd,sathealt,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,socrel,socommun,socfrend,socbar,ANOMIA1,ANOMIA2,ANOMIA3,ANOMIA4,ANOMIA5,ANOMIA6,ANOMIA7,ANOMIA8,ANOMIA9,satjob,richwork,jobinc,jobsec,jobhour,jobpromo,jobmeans,class,satfin,finalter,finrela,wksub,wksubs,wksup,wksups,unemp,govaid,getahead,fehome,fework,fepres,fepol,fepoly,abdefect,abnomore,abhlth,abpoor,abrape,absingle,chldidel,chldmore,chldnum,chldsoon,pill,teenpill,sexeduc,divlaw,premarsx,xmarsex,homosex,fear,burglr,robbry,owngun,pistol,shotgun,rifle,ticket,arrest,phone,coop,comprend,form,memfrat,memserv,memvet,mempolit,memunion,memsport,memyouth,memschl,memhobby,memgreek,memnat,memfarm,memlit,memprof,memchurh,memother,memnum,povline,incdef,realinc,realrinc,coninc,conrinc,ethnic,ethnum,vetyears,vetkind,worda,wordb,wordc,wordd,worde,wordf,wordg,wordh,wordi,wordj,wordsum,ISCO68,PAISCO68,SPISCO68,ISCO88,PAISCO88,SPISCO88,ISCO08,PAISCO08,SPISCO08,SEI10,SEI10EDUC,SEI10INC,PASEI10,PASEI10EDUC,PASEI10INC,SPSEI10,SPSEI10EDUC,SPSEI10INC,commun,russia,japan,england,canada,brazil,china,israel,egypt,cohort,marcohrt,sampcode,wtssall
keeping house,e,e,yes,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,b,b,b,"found, coded",found,married,c,no,retired,e,e,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,b,b,cutlery and hand tool manufacturing,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,d,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,c,b,b,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",e. nor. central,same city,mother & father,,no,,,average,c,c,c,c,d,c,c,$10000 - 14999,,e. nor. central,open country,other rural,1,d,c,c,b,b,b,c,c,b,c,c,c,d,c,c,c,c,c,not str democrat,voted,mcgovern,,conservative,too much,about right,too little,too little,too little,too little,about right,about right,too little,too much,about right,allowed,not allowed,remove,allowed,not allowed,remove,,,remove,,,remove,favor,,not harsh enough,,disapprove,protestant,lutheran-dk which,,moderate,2-3x a month,strong,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,disapprove,,no,not object,no,,,,no,no,no,no,oppose,yes,very happy,very happy,good,routine,very great deal,very great deal,very great deal,very great deal,great deal,only some,,a great deal,only some,a great deal,only some,a great deal,only some,only some,a great deal,a great deal,a great deal,sev times a week,sev times a mnth,sev times a year,once a year,disagree,disagree,disagree,disagree,disagree,disagree,disagree,agree,disagree,very satisfied,,third,fifth,fourth,second,most impt,working class,satisfied,stayed same,average,,,,,no,no,hard work,agree,approve,no,agree,,yes,no,yes,,yes,no,e,no,e,e,available,not available,favor,more difficult,always wrong,always wrong,always wrong,no,no,no,yes,yes,yes,no,no,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,e,c,e,germany,chooses 1 of 2+,none,,correct,correct,incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,c,d,c,d,d,c,d,"metal finishing, plating and coating machine operators",well drillers and borers and related workers,metal working machine tool setters and operators,b,b,c,c,b,c,c,b,c,"bad, not worst",c,c,c,c,d,c,c,d,c,c,177,d
temp not working,e,e,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,d,d,c,"found, coded",found,married,c,no,working fulltime,c,e,,c,c,someone else,b,c,verbatims for sp,"found, coded",found,c,c,"machinery manufacturing, n.e.c.","found, coded",found,d,c,self-employed,c,b,verbatims for pa,"found, coded",found,c,c,b,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,d,c,d,b,bachelor,,high school,lt high school,female,white,farm,south atlantic,different state,mother & father,,yes,yes,yes,below average,c,c,c,e,c,c,c,$15000 - 19999,$8000 to 9999,e. nor. central,open country,other rural,1,c,a,c,d,c,d,c,c,c,c,b,c,c,c,b,c,c,c,not str democrat,voted,,,conservative,too much,,,about right,about right,too little,too little,,about right,too much,too much,,not allowed,not remove,,not allowed,not remove,not allowed,,not remove,,not allowed,not remove,oppose,favor,,not harsh enough,approve,protestant,baptist-dk which,,fundamentalist,more thn once wk,strong,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,protestant,methodist-dk which,,moderate,,local decision,no,not object,no,,,,yes,no,,,oppose,yes,very happy,very happy,fair,,great deal,great deal,great deal,great deal,great deal,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,only some,only some,,only some,a great deal,sev times a week,sev times a year,sev times a year,never,disagree,disagree,disagree,agree,disagree,disagree,agree,agree,disagree,very satisfied,continue working,fourth,fifth,third,second,most impt,working class,satisfied,better,average,yes,yes,no,,no,yes,hard work,,approve,no,,equal,yes,no,yes,,yes,no,c,no,e,e,available,not available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,no,yes,no,yes,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,,e,not poor,"10,000 to 20,000",c,c,c,c,germany,names 1,none,,,correct,incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,c,b,c,c,b,b,c,primary school teachers,agricultural and forestry production managers,clearing and forwarding agents,d,d,d,c,c,c,c,c,b,worst kind,b,c,c,c,e,b,e,e,c,c,177,c
working parttime,b,e,,b,d,someone else,d,found,b,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,never married,e,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,b,c,someone else,c,c,verbatims for pa,"found, coded",found,b,b,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,b,c,c,c,e,high school,lt high school,high school,,male,white,city gt 250000,e. nor. central,same city,mother & father,,yes,no,yes,below average,b,c,c,c,b,e,c,$3000 to 3999,$1000 to 2999,e. nor. central,city gt 250000,12 lrgst smsa's,751,c,c,b,d,d,c,e,e,e,e,e,e,c,c,d,c,b,c,"ind,near dem",voted,mcgovern,,moderate,too little,too little,about right,about right,about right,about right,about right,about right,too much,about right,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,oppose,favor,,,disapprove,none,,,liberal,never,no religion,catholic,,,moderate,,,,,,,,,,forbidden,no,not object,yes,no,1-3 blks away,stay integrated,no,no,no,no,oppose,yes,pretty happy,,excellent,routine,a fair amount,a little,a little,a fair amount,very great deal,only some,only some,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,only some,sev times a week,once a month,sev times a week,never,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,mod. satisfied,continue working,third,second,fifth,fourth,most impt,working class,satisfied,stayed same,far below average,yes,yes,no,,no,no,luck or help,agree,approve,yes,,men,yes,,yes,,,,c,uncertain,e,e,,available,oppose,more difficult,not wrong at all,always wrong,not wrong at all,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,c,not poor,"1,000 to 4,999",c,c,b,c,germany,names 1,2 to 4  years,army,correct,correct,correct,correct,correct,correct,incorrect,correct,correct,incorrect,c,b,c,e,c,c,e,draughtspersons,shop sales assistants,,d,d,d,c,c,c,e,e,e,ok for some,c,c,c,c,b,d,c,c,d,e,128,b
temp not working,e,c,,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,yes,keeping house,e,e,no,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,self-employed,e,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,e,e,c,b,a,c,c,lt high school,lt high school,lt high school,high school,male,white,"country,nonfarm",w. nor. central,different state,mother & father,,yes,yes,no,far below average,c,c,c,c,c,c,c,$15000 - 19999,$15000 - 19999,e. nor. central,city gt 250000,12 lrgst smsa's,751,d,c,b,c,b,c,e,e,e,e,e,e,c,c,b,c,d,c,strong democrat,did not vote,,mcgovern,moderate,too much,too much,too little,too much,about right,too little,too little,about right,too little,too much,too much,not allowed,not allowed,remove,not allowed,not allowed,remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,favor,not harsh enough,,disapprove,protestant,baptist-dk which,,fundamentalist,never,strong,protestant,baptist-dk which,,fundamentalist,protestant,other,assembly of god,fundamentalist,protestant,other,nazarene,fundamentalist,disapprove,,yes,not object,yes,no,4-8 blks away,stay integrated,no,no,no,no,oppose,yes,very happy,very happy,excellent,routine,great deal,great deal,great deal,great deal,great deal,a great deal,a great deal,only some,hardly any,a great deal,hardly any,a great deal,only some,hardly any,only some,hardly any,a great deal,once a month,almost daily,sev times a year,never,agree,agree,disagree,agree,agree,agree,agree,agree,agree,a little dissat,continue working,third,most impt,fourth,fifth,second,middle class,more or less,worse,average,no,,no,,no,yes,hard work,disagree,disapprove,yes,disagree,,yes,no,yes,no,yes,no,c,no,e,e,available,available,favor,more difficult,not wrong at all,always wrong,always wrong,no,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,c,not poor,"10,000 to 20,000",c,d,c,d,france,chooses 1 of 2+,2 to 4  years,army,correct,correct,incorrect,correct,incorrect,incorrect,correct,incorrect,correct,incorrect,c,d,d,e,d,c,e,heavy truck and lorry drivers,carpenters and joiners,,c,b,c,c,c,c,e,e,e,worst kind,c,c,d,c,c,c,c,c,c,c,128,c
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,b,"found, coded",found,divorced,c,,,e,e,,e,e,,e,e,no verbatims for sp,"found, iap",found,e,e,,"found, iap",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,c,c,c,b,b,e,high school,lt high school,lt high school,,female,white,50000 to 250000,e. nor. central,"same st,dif city",mother & father,,yes,no,no,average,c,e,c,c,b,c,b,$1000 to 2999,,e. nor. central,city gt 250000,12 lrgst smsa's,751,c,c,b,c,c,c,e,e,e,e,e,e,d,c,c,b,b,c,other party,did not vote,,mcgovern,,,too little,too little,too little,too little,too little,too little,,,too little,too little,allowed,allowed,not remove,,allowed,not remove,allowed,not fired,not remove,not allowed,not allowed,remove,,favor,not harsh enough,,,catholic,,,moderate,once a year,not very strong,catholic,,,moderate,,,,,,,,,disapprove,,yes,mildly object,no,,,,no,no,"yes, object",,oppose,yes,not too happy,,fair,routine,some,a little,a fair amount,quite a bit,some,only some,only some,a great deal,only some,only some,only some,only some,only some,,only some,,,once a month,sev times a year,once a month,never,disagree,agree,agree,agree,agree,agree,disagree,agree,disagree,a little dissat,,fourth,third,fifth,second,most impt,middle class,not at all sat,stayed same,far below average,,,,,no,yes,hard work,agree,approve,yes,,,yes,no,yes,yes,yes,no,c,no,e,e,available,not available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,standard <x>,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,c,poor,"-4,999 to -1,000",b,e,b,e,puerto rico,names 1,none,,correct,correct,,correct,incorrect,correct,incorrect,incorrect,correct,incorrect,c,c,c,e,d,c,e,other artistic and cultural associate professionals,structural-metal preparers and erectors,,c,c,c,c,c,c,e,e,e,"bad, not worst",c,b,c,c,b,c,c,c,c,d,128,b
keeping house,e,e,yes,c,b,someone else,c,found,d,verbatims for r,"found, coded",found,c,b,d,"found, coded",found,married,d,no,working fulltime,c,e,,c,c,someone else,c,d,verbatims for sp,"found, coded",found,c,c,motor vehicles and motor vehicle equipment manufacturing,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,e,c,c,c,c,c,c,high school,lt high school,lt high school,lt high school,female,white,town lt 50000,foreign,different state,mother & father,,yes,yes,no,far below average,c,e,c,c,c,c,c,$8000 to 9999,,e. nor. central,city gt 250000,12 lrgst smsa's,751,d,c,b,b,b,b,d,c,c,b,c,c,d,c,c,b,b,b,not str democrat,did not vote,,mcgovern,liberal,too much,,,,,,,,,,about right,allowed,not allowed,remove,,,remove,not allowed,fired,remove,not allowed,not allowed,remove,favor,favor,,not harsh enough,disapprove,catholic,,,moderate,sevrl times a yr,not very strong,catholic,,,moderate,protestant,baptist-dk which,,fundamentalist,protestant,baptist-dk which,,fundamentalist,,local decision,no,not object,no,,,,no,no,no,no,oppose,yes,not too happy,pretty happy,good,routine,a fair amount,none,great deal,great deal,great deal,,,,,,,,,,,,,sev times a mnth,never,never,never,disagree,agree,disagree,agree,agree,agree,,agree,agree,mod. satisfied,,most impt,second,fifth,third,fourth,working class,not at all sat,worse,far below average,yes,yes,no,,no,yes,hard work,disagree,approve,yes,,equal,yes,no,yes,no,yes,no,c,yes,c,c,available,not available,favor,,sometimes wrong,always wrong,always wrong,,no,no,yes,yes,no,no,no,no,phone in home,"friendly,interested",fair,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"1,000 to 4,999",c,e,c,e,puerto rico,names 1,none,,correct,correct,,,,correct,correct,,correct,incorrect,c,c,d,d,d,d,d,hand launderers and pressers,civil engineering labourers,metal moulders and coremakers,b,b,b,c,c,c,c,b,c,worst kind,c,c,c,b,e,e,b,c,c,d,128,c
working fulltime,c,e,,c,b,someone else,c,found,d,verbatims for r,"found, coded",found,b,b,b,"found, coded",found,married,b,yes,working fulltime,c,e,,c,b,someone else,c,c,verbatims for sp,"found, coded",found,b,b,"coating, engraving, heat treating and allied activities","found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,c,c,c,c,e,c,b,lt high school,,lt high school,lt high school,female,white,50000 to 250000,e. nor. central,same city,mother,"divorce,separated",yes,no,yes,below average,c,c,d,c,c,c,c,$10000 - 14999,$4000 to 4999,e. nor. central,city gt 250000,12 lrgst smsa's,751,d,c,c,b,b,b,d,c,c,b,b,b,e,e,e,e,e,e,independent,did not vote,,nixon,conservative,too much,too little,too little,too little,too little,too little,too little,too little,about right,too much,about right,allowed,allowed,not remove,allowed,allowed,not remove,allowed,not fired,not remove,allowed,allowed,not remove,favor,favor,,not harsh enough,disapprove,catholic,,,moderate,once a year,not very strong,catholic,,,moderate,protestant,lutheran-dk which,,moderate,protestant,lutheran-dk which,,moderate,,local decision,,strongly object,no,,,,no,no,no,,oppose,yes,pretty happy,very happy,good,routine,a fair amount,none,very great deal,great deal,quite a bit,a great deal,hardly any,a great deal,a great deal,a great deal,a great deal,only some,a great deal,a great deal,only some,a great deal,a great deal,once a year,never,sev times a year,never,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,mod. satisfied,continue working,third,fourth,fifth,second,most impt,working class,more or less,stayed same,average,yes,yes,no,,no,yes,hard work,disagree,approve,yes,,equal,yes,no,yes,no,yes,,c,no,e,e,available,available,favor,stay same,always wrong,always wrong,always wrong,,no,no,no,no,no,no,no,no,phone in home,"friendly,interested",good,alternate <y>,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,hungary,names 1,none,,correct,correct,incorrect,correct,correct,correct,incorrect,correct,correct,incorrect,c,c,e,d,d,e,d,"fibre preparing, spinning and winding machine operators",,metal working machine tool setters and operators,b,b,b,e,e,e,c,b,c,"bad, not worst",c,c,c,c,c,c,c,c,c,c,128,c
working fulltime,c,e,,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,c,"found, coded",found,married,c,no,keeping house,e,e,yes,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,cut and sew apparel manufacturing,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,b,c,c,c,e,c,c,high school,,lt high school,high school,male,white,city gt 250000,e. nor. central,,mother,parent died,,,,below average,c,c,c,c,c,c,c,$10000 - 14999,$10000 - 14999,e. nor. central,"suburb, lrg city","suburb, 12 lrgst",22,c,c,b,c,c,c,c,c,c,c,c,c,e,e,e,e,e,e,"ind,near rep",voted,nixon,,slghtly conservative,too much,too much,about right,too much,too little,too little,too little,too much,too much,too much,too much,not allowed,not allowed,not remove,allowed,not allowed,not remove,not allowed,fired,not remove,not allowed,not allowed,remove,favor,oppose,not harsh enough,,approve,none,,,liberal,lt once a year,no religion,jewish,,,liberal,jewish,,,liberal,jewish,,,liberal,approve,,yes,strongly object,no,,,,no,no,"yes, object",,oppose,no,not too happy,not too happy,fair,dull,a fair amount,great deal,a fair amount,a little,some,only some,only some,a great deal,hardly any,only some,only some,only some,only some,only some,a great deal,hardly any,only some,once a month,once a month,once a month,never,agree,agree,agree,agree,agree,agree,agree,agree,agree,a little dissat,stop working,most impt,second,third,fifth,fourth,working class,not at all sat,stayed same,average,yes,yes,no,,no,no,luck or help,disagree,approve,no,agree,,yes,yes,yes,yes,yes,yes,b,no,e,e,available,available,favor,easier,not wrong at all,sometimes wrong,always wrong,no,no,no,refused,refused,refused,refused,yes,no,phone in home,cooperative,good,standard <x>,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,c,c,c,russia,names 1,less than 2 yrs,army,correct,correct,incorrect,correct,correct,correct,incorrect,correct,incorrect,incorrect,c,c,e,c,c,e,c,information and communications technology operations technicians,,administrative and executive secretaries,c,c,c,e,e,e,c,c,c,"bad, not worst",b,b,a,a,a,b,c,b,c,c,128,c
retired,e,e,yes,c,c,someone else,c,found,d,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,d,no,working fulltime,c,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,c,"savings institutions, including credit unions","found, coded",found,c,c,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,c,b,d,c,e,e,d,high school,,,high school,male,white,"country,nonfarm",e. nor. central,"same st,dif city",mother & father,,,,,average,c,c,c,c,c,c,c,$10000 - 14999,$1000 to 2999,e. nor. central,"suburb, lrg city","suburb, 12 lrgst",22,b,c,c,c,c,c,d,c,c,c,c,b,c,c,b,c,c,c,not str republican,voted,nixon,,slghtly conservative,too much,too little,too little,too little,,too little,too little,about right,about right,about right,about right,not allowed,not allowed,remove,allowed,not allowed,remove,allowed,fired,remove,allowed,not allowed,remove,favor,favor,,not harsh enough,disapprove,protestant,methodist-dk which,,moderate,nrly every week,strong,protestant,baptist-dk which,,fundamentalist,protestant,methodist-dk which,,moderate,protestant,lutheran-dk which,,moderate,,local decision,yes,not object,no,,,,no,no,no,no,oppose,yes,very happy,very happy,excellent,exciting,very great deal,very great deal,very great deal,very great deal,great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,a great deal,only some,only some,,only some,a great deal,sev times a year,sev times a week,once a month,never,agree,agree,disagree,disagree,disagree,disagree,agree,agree,agree,,,fourth,third,fifth,second,most impt,middle class,more or less,stayed same,average,yes,yes,no,,yes,no,both equally,disagree,approve,yes,,equal,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,no,no,no,no,no,yes,no,phone in home,"friendly,interested",good,alternate <y>,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,d,not poor,"5,000 to 9,999",c,c,c,c,england & wales,chooses 1 of 2+,none,,correct,correct,,correct,correct,correct,incorrect,,correct,incorrect,c,c,c,d,b,c,c,"supply, distribution and related managers",metal working machine tool setters and operators,"statistical, finance and insurance clerks",c,c,c,c,c,c,c,c,c,ok for some,e,c,c,c,e,e,c,c,b,c,128,c
retired,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,b,b,c,"found, coded",found,married,e,no,retired,e,e,yes,c,c,someone else,c,d,verbatims for sp,"found, coded",found,d,d,rail transportation,"found, coded",found,c,b,someone else,c,c,verbatims for pa,"found, coded",found,c,c,c,"found, coded",found,"found, iap",found,"found, iap",found,d,b,d,b,a,a,b,lt high school,lt high school,lt high school,lt high school,female,white,"country,nonfarm",e. nor. central,"same st,dif city",mother & father,,yes,yes,yes,far below average,c,c,c,c,c,c,b,$8000 to 9999,,e. nor. central,"suburb, lrg city","suburb, 12 lrgst",22,d,c,b,c,b,c,c,c,b,c,c,c,d,c,c,b,a,b,not str democrat,did not vote,,,,too much,,too little,,too little,too much,,too much,too much,too much,too much,not allowed,not allowed,remove,allowed,allowed,remove,allowed,fired,remove,not allowed,not allowed,remove,favor,favor,,not harsh enough,disapprove,protestant,lutheran-dk which,,moderate,once a month,not very strong,protestant,lutheran-dk which,,moderate,none,,,liberal,protestant,lutheran-dk which,,moderate,,local decision,yes,strongly object,no,,,,no,no,"yes, object",,oppose,no,pretty happy,pretty happy,good,routine,very great deal,none,great deal,great deal,great deal,a great deal,a great deal,a great deal,hardly any,only some,a great deal,hardly any,a great deal,,,hardly any,hardly any,sev times a mnth,never,sev times a year,never,agree,agree,,agree,disagree,agree,agree,agree,agree,,,fifth,second,most impt,third,fourth,working class,satisfied,stayed same,average,,,,,no,no,hard work,agree,approve,no,,men,yes,yes,yes,yes,yes,yes,c,inappropriate,e,e,available,not available,oppose,easier,always wrong,always wrong,always wrong,no,no,no,no,no,no,no,no,no,phone in home,cooperative,poor,alternate <y>,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,c,not poor,"5,000 to 9,999",c,e,c,e,russia,names 1,none,,correct,correct,,correct,,,correct,,correct,incorrect,c,c,d,d,c,c,d,telephone switchboard operators,"metal polishers, wheel grinders and tool sharpeners",locomotive engine drivers,c,c,b,c,c,c,c,c,d,worst kind,e,e,e,e,e,e,b,e,b,c,128,c
keeping house,e,e,yes,c,c,someone else,c,found,c,verbatims for r,"found, coded",found,c,c,b,"found, coded",found,married,c,no,working fulltime,d,e,,c,c,someone else,c,c,verbatims for sp,"found, coded",found,c,b,clothing stores,"found, coded",found,e,e,,e,e,no verbatims for pa,"found, iap",found,e,e,e,"found, iap",found,"found, iap",found,"found, iap",found,b,c,c,c,e,c,c,high school,,high school,high school,female,white,big-city suburb,e. nor. central,,mother,"divorce,separated",yes,no,no,below average,c,c,c,c,c,c,c,$15000 - 19999,,e. nor. central,"suburb, lrg city","suburb, 12 lrgst",22,c,c,c,c,c,c,c,c,c,c,b,c,e,e,e,e,e,e,independent,voted,nixon,,moderate,too much,too little,too little,too little,too little,too little,too little,too much,about right,too much,too much,allowed,allowed,not remove,allowed,not allowed,remove,allowed,fired,remove,not allowed,not allowed,remove,favor,favor,not harsh enough,,approve,jewish,,,liberal,sevrl times a yr,strong,jewish,,,liberal,jewish,,,liberal,jewish,,,liberal,approve,,yes,strongly object,no,,,,no,"yes, object",,,oppose,no,pretty happy,very happy,excellent,routine,a fair amount,great deal,very great deal,very great deal,very great deal,only some,only some,only some,hardly any,hardly any,only some,only some,only some,only some,a great deal,hardly any,only some,sev times a week,sev times a year,sev times a week,sev times a year,agree,agree,disagree,agree,agree,agree,agree,agree,agree,a little dissat,,second,fourth,fifth,third,most impt,working class,not at all sat,worse,average,yes,no,yes,no,yes,no,both equally,disagree,approve,yes,disagree,,yes,yes,yes,yes,yes,yes,e,no,e,e,available,available,favor,more difficult,always wrong,always wrong,always wrong,yes,no,yes,no,no,no,no,no,no,"phone,dk where","friendly,interested",good,standard <x>,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,e,not poor,"10,000 to 20,000",c,e,c,e,,cannot choose 1,none,,correct,correct,correct,correct,correct,correct,incorrect,incorrect,incorrect,incorrect,c,c,e,c,c,e,c,administrative and executive secretaries,,shop sales assistants,c,c,c,e,e,e,c,c,c,"bad, not worst",c,c,c,c,c,c,d,c,c,c,128,c
